Jogador,Time,#,Nação,Pos.,Idade,Min.,Gols,Assis.,PB,PT,TC,CaG,CrtsA,CrtV,Contatos,Div,Crts,Bloqueios,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Conduções,PrgC,Tent,Suc,Data
Wilker Ángel,Criciúma,4,VEN,CB,31-115,90.0,0,0,0,0,0,0,0,0,57.0,0.0,4,6.0,0.0,0.0,0.0,1.0,0.0,32.0,40.0,"80,0",1.0,28.0,1.0,0.0,0.0,2024-07-11
Rodrigo Fagundes,Criciúma,3,BRA,CB,37-123,90.0,0,0,0,0,0,0,0,0,51.0,0.0,1,1.0,0.0,0.0,0.0,3.0,0.0,36.0,42.0,"85,7",6.0,32.0,2.0,1.0,0.0,2024-07-11
Claudinho,Criciúma,27,BRA,RB,23-291,82.0,0,0,0,0,0,0,0,0,72.0,4.0,1,2.0,0.0,0.0,0.3,6.0,0.0,47.0,62.0,"75,8",5.0,38.0,7.0,0.0,0.0,2024-07-11
Ronald,Criciúma,6,BRA,RB,27-023,8.0,0,0,0,0,0,0,1,0,5.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,"50,0",0.0,4.0,0.0,0.0,0.0,2024-07-11
Gustavo,Criciúma,1,BRA,GK,31-123,90.0,0,0,0,0,0,0,0,0,35.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,31.0,"74,2",0.0,20.0,0.0,0.0,0.0,2024-07-11
John Kennedy,Fluminense,9,BRA,FW,22-054,60.0,0,0,0,0,1,1,0,0,24.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,14.0,"85,7",1.0,16.0,1.0,5.0,3.0,2024-07-11
Kauã Elias,Fluminense,19,BRA,FW,18-105,30.0,1,0,0,0,6,6,0,0,20.0,2.0,0,0.0,1.6,1.6,0.0,1.0,0.0,6.0,9.0,"66,7",1.0,15.0,1.0,1.0,0.0,2024-07-11
Keno,Fluminense,11,BRA,LW,34-305,60.0,0,0,0,0,2,0,0,0,27.0,1.0,1,0.0,0.0,0.0,0.1,4.0,0.0,10.0,18.0,"55,6",2.0,15.0,4.0,4.0,3.0,2024-07-11
Jan Lucumí González,Fluminense,17,COL,"RW,LW",20-151,30.0,0,0,0,0,0,0,0,0,19.0,0.0,1,1.0,0.0,0.0,0.3,3.0,0.0,14.0,15.0,"93,3",1.0,14.0,2.0,4.0,3.0,2024-07-11
Marquinhos,Fluminense,77,BRA,"RW,LW",21-095,83.0,0,0,0,0,3,2,0,0,61.0,3.0,1,3.0,0.1,0.1,0.0,1.0,0.0,32.0,48.0,"66,7",0.0,34.0,5.0,3.0,3.0,2024-07-11
Douglas Costa,Fluminense,90,BRA,RW,33-301,7.0,0,0,0,0,0,0,0,0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,"83,3",1.0,6.0,0.0,0.0,0.0,2024-07-11
Ganso,Fluminense,10,BRA,AM,34-273,90.0,0,0,0,0,1,1,0,0,86.0,1.0,0,0.0,0.1,0.1,0.3,6.0,0.0,68.0,81.0,"84,0",7.0,57.0,0.0,0.0,0.0,2024-07-11
André,Fluminense,7,BRA,DM,22-361,90.0,0,0,0,0,0,0,1,0,90.0,3.0,3,2.0,0.0,0.0,0.0,3.0,0.0,75.0,77.0,"97,4",11.0,64.0,1.0,3.0,2.0,2024-07-11
Martinelli,Fluminense,8,BRA,DM,23-062,73.0,0,0,0,0,1,0,0,0,56.0,2.0,0,3.0,0.0,0.0,0.0,0.0,0.0,36.0,42.0,"85,7",3.0,29.0,2.0,4.0,0.0,2024-07-11
Alexsander,Fluminense,5,BRA,DM,20-277,17.0,0,0,0,0,0,0,0,0,18.0,2.0,0,0.0,0.0,0.0,0.1,3.0,0.0,9.0,15.0,"60,0",0.0,14.0,0.0,0.0,0.0,2024-07-11
Diogo Barbosa,Fluminense,6,BRA,LB,31-329,83.0,0,0,0,0,0,0,0,0,65.0,0.0,1,1.0,0.0,0.0,0.0,2.0,0.0,41.0,53.0,"77,4",7.0,33.0,4.0,4.0,2.0,2024-07-11
Esquerdinha,Fluminense,53,BRA,LB,18-134,7.0,0,0,0,0,1,0,0,0,8.0,0.0,0,0.0,0.1,0.1,0.0,2.0,1.0,4.0,7.0,"57,1",2.0,4.0,1.0,1.0,1.0,2024-07-11
Thiago dos Santos,Fluminense,29,BRA,CB,34-310,90.0,0,0,0,0,1,0,0,0,83.0,1.0,2,0.0,0.1,0.1,0.0,0.0,0.0,66.0,75.0,"88,0",4.0,62.0,0.0,0.0,0.0,2024-07-11
Antonio Carlos,Fluminense,25,BRA,CB,31-126,90.0,0,0,0,0,0,0,0,0,85.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,63.0,71.0,"88,7",4.0,47.0,0.0,0.0,0.0,2024-07-11
Samuel Xavier,Fluminense,2,BRA,RB,34-035,90.0,0,0,0,0,2,0,0,0,103.0,1.0,3,1.0,0.1,0.1,0.0,3.0,0.0,84.0,89.0,"94,4",4.0,62.0,2.0,2.0,0.0,2024-07-11
Fábio,Fluminense,1,BRA,GK,43-285,90.0,0,0,0,0,0,0,0,0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,"100,0",0.0,5.0,0.0,0.0,0.0,2024-07-11
Alerrandro,Vitória,9,BRA,FW,24-181,75.0,0,0,0,0,1,1,0,0,21.0,1.0,0,1.0,0.1,0.1,0.2,1.0,0.0,9.0,14.0,"64,3",2.0,8.0,0.0,0.0,0.0,2024-07-11
Everaldo,Vitória,37,BRA,FW,30-044,15.0,0,0,0,0,0,0,0,0,9.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,"100,0",1.0,6.0,1.0,3.0,0.0,2024-07-11
Lucas Esteves,Vitória,16,BRA,LM,24-017,90.0,0,0,0,0,1,0,0,0,63.0,2.0,0,0.0,0.2,0.2,0.1,2.0,0.0,51.0,56.0,"91,1",5.0,40.0,2.0,3.0,1.0,2024-07-11
Léo Naldi,Vitória,5,BRA,CM,22-328,58.0,0,0,0,0,0,0,0,0,21.0,4.0,2,0.0,0.0,0.0,0.0,2.0,0.0,10.0,14.0,"71,4",0.0,14.0,0.0,1.0,0.0,2024-07-11
Fábio Soares,Vitória,83,BRA,CM,19-221,32.0,0,0,0,0,0,0,0,0,18.0,3.0,0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,9.0,"44,4",0.0,7.0,0.0,3.0,1.0,2024-07-11
Willian,Vitória,29,BRA,CM,31-056,75.0,0,0,0,0,0,0,0,0,24.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,"94,4",1.0,19.0,0.0,1.0,0.0,2024-07-11
Jean Mota,Vitória,10,BRA,CM,30-270,15.0,0,0,0,0,1,0,0,0,12.0,0.0,0,1.0,0.2,0.2,0.2,2.0,0.0,7.0,9.0,"77,8",1.0,7.0,0.0,0.0,0.0,2024-07-11
Luan Silva,Vitória,8,BRA,DM,25-058,89.0,0,0,0,0,1,0,0,0,46.0,1.0,1,0.0,0.0,0.0,0.1,2.0,0.0,33.0,38.0,"86,8",1.0,31.0,0.0,2.0,0.0,2024-07-11
José Hugo,Vitória,17,BRA,DM,24-268,1.0,0,0,0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,1.0,0.0,2024-07-11
Patric Calmon PK,Vitória,14,BRA,LB,30-006,58.0,0,0,0,0,0,0,0,0,26.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,22.0,"68,2",2.0,16.0,2.0,3.0,1.0,2024-07-11
Janderson,Vitória,39,BRA,LB,25-066,32.0,0,0,0,0,2,0,1,0,12.0,1.0,0,1.0,0.1,0.1,0.0,1.0,0.0,4.0,7.0,"57,1",0.0,10.0,1.0,1.0,1.0,2024-07-11
Wagner,Vitória,4,BRA,CB,24-354,90.0,0,0,0,0,1,1,0,0,80.0,3.0,2,1.0,0.2,0.2,0.0,0.0,0.0,62.0,68.0,"91,2",5.0,50.0,2.0,2.0,2.0,2024-07-11
Willean Lepo,Vitória,97,BRA,CB,27-177,90.0,0,0,0,0,2,1,0,0,71.0,5.0,0,0.0,0.1,0.1,0.2,1.0,0.0,41.0,58.0,"70,7",2.0,38.0,0.0,1.0,0.0,2024-07-11
Raúl Cáceres,Vitória,27,PAR,RB,32-297,90.0,0,0,0,0,0,0,0,0,60.0,4.0,0,1.0,0.0,0.0,0.1,3.0,0.0,30.0,47.0,"63,8",2.0,19.0,2.0,3.0,0.0,2024-07-11
Lucas Arcanjo,Vitória,1,BRA,GK,25-338,90.0,0,0,0,0,0,0,0,0,31.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,29.0,"96,6",0.0,18.0,0.0,0.0,0.0,2024-07-11
Júnior Santos,Botafogo (RJ),11,BRA,FW,29-274,90.0,0,0,0,0,2,0,0,0,32.0,2.0,0,0.0,0.3,0.3,0.2,3.0,0.0,9.0,18.0,"50,0",0.0,26.0,2.0,8.0,2.0,2024-07-11
Carlos Eduardo,Botafogo (RJ),33,BRA,FW,34-268,58.0,0,0,0,1,0,0,1,0,21.0,0.0,1,0.0,0.8,0.0,0.0,2.0,0.0,16.0,19.0,"84,2",3.0,10.0,0.0,0.0,0.0,2024-07-11
Tchê Tchê,Botafogo (RJ),6,BRA,FW,31-316,32.0,0,0,0,0,2,1,0,0,14.0,0.0,0,0.0,0.1,0.1,0.0,1.0,1.0,7.0,9.0,"77,8",0.0,8.0,1.0,1.0,0.0,2024-07-11
Jefferson Savarino,Botafogo (RJ),10,VEN,LM,27-243,90.0,1,0,0,0,2,2,0,0,37.0,0.0,0,0.0,0.7,0.7,0.5,7.0,0.0,27.0,31.0,"87,1",6.0,15.0,0.0,0.0,0.0,2024-07-11
Marlon Freitas,Botafogo (RJ),17,BRA,CM,29-106,81.0,0,0,0,0,0,0,0,0,81.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,71.0,78.0,"91,0",11.0,43.0,0.0,1.0,0.0,2024-07-11
Diego Hernández,Botafogo (RJ),77,URU,CM,24-019,9.0,0,0,0,0,0,0,1,0,12.0,3.0,0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,"83,3",1.0,5.0,1.0,3.0,0.0,2024-07-11
Gregore,Botafogo (RJ),26,BRA,CM,30-131,90.0,0,0,0,0,1,0,1,0,70.0,8.0,1,0.0,0.1,0.1,0.0,2.0,0.0,50.0,55.0,"90,9",1.0,34.0,2.0,1.0,0.0,2024-07-11
Luiz Henrique,Botafogo (RJ),7,BRA,RM,23-191,35.0,0,0,0,0,1,0,0,0,11.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,9.0,"88,9",0.0,5.0,0.0,1.0,1.0,2024-07-11
Óscar Romero,Botafogo (RJ),70,PAR,RM,32-007,55.0,0,0,0,0,3,1,0,0,32.0,0.0,0,0.0,0.1,0.1,0.0,2.0,0.0,19.0,25.0,"76,0",2.0,17.0,1.0,7.0,1.0,2024-07-11
Fernando Marçal,Botafogo (RJ),21,BRA,LB,35-143,90.0,0,0,0,0,0,0,0,0,68.0,4.0,3,0.0,0.0,0.0,0.0,1.0,0.0,42.0,57.0,"73,7",2.0,28.0,0.0,1.0,0.0,2024-07-11
Alexander Barboza,Botafogo (RJ),20,ARG,CB,29-117,90.0,0,0,0,0,1,0,0,0,67.0,1.0,4,1.0,0.1,0.1,0.0,0.0,0.0,44.0,52.0,"84,6",1.0,38.0,0.0,1.0,0.0,2024-07-11
Lucas Halter,Botafogo (RJ),3,BRA,CB,24-070,90.0,0,0,0,0,1,0,0,0,84.0,1.0,0,0.0,0.1,0.1,0.0,0.0,0.0,69.0,75.0,"92,0",3.0,46.0,0.0,0.0,0.0,2024-07-11
Mateo Ponte,Botafogo (RJ),4,URU,RB,21-048,81.0,0,0,0,0,1,0,0,0,47.0,4.0,2,0.0,0.3,0.3,0.0,3.0,0.0,27.0,33.0,"81,8",1.0,18.0,0.0,3.0,0.0,2024-07-11
Damián Suárez,Botafogo (RJ),22,URU,RB,36-075,9.0,0,0,0,0,0,0,0,0,6.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,"66,7",0.0,1.0,0.0,0.0,0.0,2024-07-11
John,Botafogo (RJ),12,BRA,GK,28-149,90.0,0,0,0,0,0,0,0,0,30.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,29.0,"89,7",0.0,19.0,0.0,0.0,0.0,2024-07-11
Hulk,Atlético Mineiro,7,BRA,FW,37-352,90.0,0,0,0,0,4,1,1,0,56.0,0.0,0,0.0,0.1,0.1,0.0,6.0,1.0,41.0,45.0,"91,1",3.0,37.0,5.0,4.0,2.0,2024-07-11
Eduardo Vargas,Atlético Mineiro,11,CHI,AM,34-234,72.0,1,0,0,0,1,1,0,0,28.0,1.0,0,0.0,0.2,0.2,0.0,5.0,0.0,20.0,23.0,"87,0",3.0,20.0,2.0,0.0,0.0,2024-07-11
Paulinho,Atlético Mineiro,10,BRA,AM,23-362,89.0,1,0,0,0,1,1,0,0,54.0,4.0,0,0.0,0.2,0.2,0.0,6.0,0.0,40.0,45.0,"88,9",2.0,37.0,2.0,1.0,1.0,2024-07-11
Brahian Palacios,Atlético Mineiro,30,COL,AM,21-230,1.0,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,"50,0",0.0,2.0,1.0,1.0,1.0,2024-07-11
Otávio,Atlético Mineiro,5,BRA,CM,30-068,90.0,0,0,0,0,1,0,0,0,78.0,2.0,1,1.0,0.0,0.0,0.0,2.0,0.0,66.0,70.0,"94,3",4.0,53.0,0.0,0.0,0.0,2024-07-11
Alan Franco,Atlético Mineiro,23,ECU,CM,25-325,90.0,0,0,0,0,0,0,0,0,69.0,3.0,1,1.0,0.0,0.0,0.0,1.0,0.0,57.0,61.0,"93,4",4.0,40.0,0.0,0.0,0.0,2024-07-11
Guilherme Arana,Atlético Mineiro,13,BRA,WB,27-088,90.0,0,0,0,0,3,1,0,0,97.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,76.0,89.0,"85,4",6.0,63.0,5.0,1.0,1.0,2024-07-11
Gustavo Scarpa,Atlético Mineiro,6,BRA,WB,30-188,90.0,0,0,0,0,4,1,0,0,72.0,0.0,0,0.0,0.1,0.1,0.0,2.0,1.0,53.0,62.0,"85,5",8.0,53.0,5.0,4.0,4.0,2024-07-11
Bruno Fuchs,Atlético Mineiro,3,BRA,CB,25-101,90.0,0,0,0,0,0,0,0,0,95.0,3.0,5,1.0,0.0,0.0,0.0,1.0,0.0,71.0,83.0,"85,5",5.0,70.0,0.0,0.0,0.0,2024-07-11
Rodrigo Battaglia,Atlético Mineiro,21,ARG,CB,32-365,90.0,0,0,0,0,0,0,1,0,56.0,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,42.0,48.0,"87,5",0.0,34.0,0.0,0.0,0.0,2024-07-11
Renzo Saravia,Atlético Mineiro,26,ARG,CB,31-025,90.0,0,0,0,0,0,0,0,0,87.0,5.0,2,0.0,0.0,0.0,0.0,2.0,0.0,63.0,78.0,"80,8",7.0,63.0,4.0,1.0,0.0,2024-07-11
Matheus Mendes,Atlético Mineiro,31,BRA,GK,25-123,90.0,0,0,0,0,0,0,0,0,29.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,"100,0",0.0,14.0,0.0,0.0,0.0,2024-07-11
Jonathan Calleri,São Paulo,9,ARG,FW,30-292,85.0,0,0,0,0,1,0,0,0,25.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,20.0,"55,0",2.0,10.0,0.0,1.0,0.0,2024-07-11
André Silva,São Paulo,17,BRA,FW,27-038,5.0,0,0,0,0,0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"100,0",0.0,0.0,0.0,0.0,0.0,2024-07-11
Ferreira,São Paulo,47,BRA,LW,26-193,65.0,0,0,0,0,3,1,0,0,37.0,1.0,0,1.0,0.5,0.5,0.4,6.0,0.0,17.0,23.0,"73,9",2.0,24.0,3.0,6.0,3.0,2024-07-11
Wellington Rato,São Paulo,27,BRA,LW,32-013,25.0,0,0,0,0,0,0,0,0,10.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,"42,9",0.0,6.0,0.0,1.0,0.0,2024-07-11
Lucas Moura,São Paulo,7,BRA,RW,31-333,85.0,1,0,0,0,3,1,0,0,48.0,2.0,2,0.0,0.4,0.4,0.0,2.0,0.0,31.0,42.0,"73,8",6.0,27.0,1.0,1.0,0.0,2024-07-11
Erick,São Paulo,33,BRA,RW,26-214,5.0,0,0,0,0,0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"0,0",0.0,0.0,0.0,0.0,0.0,2024-07-11
Luciano,São Paulo,10,BRA,AM,31-054,65.0,0,0,0,0,2,1,0,0,19.0,0.0,0,1.0,0.4,0.4,0.0,1.0,0.0,11.0,16.0,"68,8",1.0,11.0,0.0,0.0,0.0,2024-07-11
Rodrigo Nestor,São Paulo,11,BRA,AM,23-337,25.0,0,0,0,0,0,0,0,0,13.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,"44,4",0.0,6.0,0.0,1.0,0.0,2024-07-11
Luiz Gustavo,São Paulo,16,BRA,DM,36-354,90.0,0,0,0,0,1,1,1,0,42.0,3.0,1,0.0,0.1,0.1,0.0,1.0,0.0,29.0,32.0,"90,6",5.0,22.0,1.0,0.0,0.0,2024-07-11
Alisson,São Paulo,25,BRA,DM,31-016,90.0,0,0,0,0,0,0,0,0,75.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,75.0,"86,7",6.0,36.0,0.0,0.0,0.0,2024-07-11
Welington,São Paulo,6,BRA,LB,23-143,90.0,0,0,0,0,0,0,0,0,42.0,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,29.0,34.0,"85,3",6.0,20.0,1.0,4.0,4.0,2024-07-11
Robert Arboleda,São Paulo,5,ECU,CB,32-263,90.0,0,0,0,0,1,0,0,0,50.0,2.0,3,0.0,0.0,0.0,0.0,1.0,1.0,31.0,35.0,"88,6",0.0,25.0,0.0,0.0,0.0,2024-07-11
Igor Vinícius de Souza,São Paulo,2,BRA,RB,27-101,79.0,0,0,0,0,0,0,0,0,53.0,0.0,1,2.0,0.0,0.0,0.2,2.0,0.0,39.0,47.0,"83,0",3.0,34.0,2.0,3.0,1.0,2024-07-11
Rafinha,São Paulo,13,BRA,RB,38-308,11.0,0,0,0,0,0,0,0,0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,"57,1",0.0,3.0,0.0,0.0,0.0,2024-07-11
Rafael Pires,São Paulo,23,BRA,GK,35-018,90.0,0,0,0,0,0,0,0,0,25.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,22.0,"72,7",0.0,5.0,0.0,0.0,0.0,2024-07-11
Matheus Pereira,Cruzeiro,10,POR,FW,28-069,90.0,1,0,0,0,2,1,0,0,44.0,0.0,0,1.0,0.3,0.3,0.1,2.0,0.0,25.0,33.0,"75,8",9.0,27.0,2.0,2.0,2.0,2024-07-13
Arthur,Cruzeiro,11,BRA,"LW,RW",26-010,90.0,0,0,0,0,2,0,0,0,43.0,0.0,0,0.0,0.1,0.1,0.0,1.0,0.0,21.0,29.0,"72,4",3.0,23.0,2.0,8.0,1.0,2024-07-13
Gabriel Veron,Cruzeiro,30,BRA,RW,21-314,66.0,1,0,0,0,2,2,0,0,21.0,1.0,1,0.0,0.8,0.8,0.0,1.0,0.0,7.0,12.0,"58,3",1.0,11.0,2.0,0.0,0.0,2024-07-13
Lautaro Díaz,Cruzeiro,26,ARG,LW,26-053,24.0,0,0,0,0,1,0,0,0,11.0,0.0,1,0.0,0.0,0.0,0.1,2.0,0.0,1.0,5.0,"20,0",0.0,5.0,0.0,1.0,1.0,2024-07-13
Álvaro Barreal,Cruzeiro,21,ARG,LM,23-331,67.0,0,0,0,0,0,0,1,0,47.0,4.0,0,2.0,0.0,0.0,0.0,1.0,0.0,20.0,33.0,"60,6",2.0,20.0,3.0,3.0,1.0,2024-07-13
Vitor Hugo Amorim,Cruzeiro,22,BRA,LM,20-146,23.0,0,1,0,0,0,0,1,0,17.0,0.0,0,2.0,0.0,0.0,0.3,2.0,1.0,11.0,12.0,"91,7",1.0,8.0,0.0,0.0,0.0,2024-07-13
Lucas Romero,Cruzeiro,29,ARG,CM,30-086,87.0,0,0,0,0,0,0,0,0,55.0,6.0,2,2.0,0.0,0.0,0.0,0.0,0.0,37.0,42.0,"88,1",7.0,22.0,0.0,0.0,0.0,2024-07-13
Ramiro Benetti,Cruzeiro,17,BRA,CM,31-052,3.0,0,0,0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,"100,0",0.0,1.0,0.0,0.0,0.0,2024-07-13
Lucas Silva,Cruzeiro,16,BRA,RM,31-148,67.0,0,0,0,0,0,0,0,0,37.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,33.0,"75,8",2.0,15.0,0.0,1.0,0.0,2024-07-13
Matheus Henrique,Cruzeiro,97,BRA,RM,26-207,23.0,0,0,0,0,0,0,0,0,15.0,1.0,0,1.0,0.0,0.0,0.1,3.0,0.0,10.0,11.0,"90,9",2.0,9.0,2.0,1.0,1.0,2024-07-13
Kaiki,Cruzeiro,6,BRA,LB,21-127,89.0,0,0,0,0,1,1,0,0,62.0,2.0,2,1.0,0.0,0.0,0.0,3.0,1.0,37.0,48.0,"77,1",4.0,23.0,2.0,2.0,1.0,2024-07-13
Lucas Villalba,Cruzeiro,25,ARG,LB,29-329,1.0,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"0,0",0.0,0.0,0.0,0.0,0.0,2024-07-13
João Marcelo,Cruzeiro,43,BRA,CB,24-030,90.0,0,0,0,0,0,0,0,0,76.0,2.0,1,2.0,0.0,0.0,0.0,0.0,0.0,52.0,65.0,"80,0",4.0,40.0,0.0,0.0,0.0,2024-07-13
Zé Ivaldo,Cruzeiro,5,BRA,CB,27-143,90.0,0,0,0,0,0,0,0,0,64.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,47.0,57.0,"82,5",4.0,35.0,0.0,1.0,0.0,2024-07-13
William,Cruzeiro,12,BRA,RB,29-101,90.0,0,1,0,0,2,0,0,0,74.0,2.0,4,3.0,0.1,0.1,0.7,2.0,1.0,39.0,59.0,"66,1",3.0,27.0,2.0,6.0,3.0,2024-07-13
Cássio,Cruzeiro,1,BRA,GK,37-037,90.0,0,0,0,0,0,0,0,0,41.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,36.0,"75,0",0.0,18.0,0.0,0.0,0.0,2024-07-13
Eduardo Sasha,Red Bull Bragantino,19,BRA,"FW,AM",32-140,69.0,0,0,0,0,0,0,0,0,23.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,21.0,"66,7",2.0,11.0,0.0,1.0,0.0,2024-07-13
Vinicius Mendonça,Red Bull Bragantino,54,BRA,"RW,LW",20-144,21.0,0,0,0,0,1,0,0,0,16.0,1.0,0,1.0,0.1,0.1,0.1,2.0,0.0,6.0,6.0,"100,0",1.0,9.0,0.0,1.0,0.0,2024-07-13
Henry Mosquera,Red Bull Bragantino,30,COL,LW,22-241,60.0,0,0,0,0,0,0,0,0,21.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,17.0,"76,5",2.0,15.0,4.0,2.0,1.0,2024-07-13
Vitinho,Red Bull Bragantino,28,BRA,"LW,RW",25-103,30.0,0,0,0,0,2,1,0,0,24.0,3.0,0,1.0,0.0,0.0,0.1,3.0,0.0,12.0,17.0,"70,6",1.0,10.0,0.0,0.0,0.0,2024-07-13
Helinho,Red Bull Bragantino,11,BRA,"RW,AM",24-079,79.0,0,0,0,0,3,1,0,0,47.0,1.0,0,5.0,0.1,0.1,0.0,6.0,0.0,19.0,32.0,"59,4",4.0,26.0,2.0,4.0,2.0,2024-07-13
Gustavinho,Red Bull Bragantino,22,BRA,AM,20-081,11.0,0,0,0,0,0,0,0,0,9.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,"28,6",0.0,7.0,0.0,0.0,0.0,2024-07-13
Lincoln,Red Bull Bragantino,10,BRA,AM,25-249,60.0,0,0,0,0,1,0,0,0,44.0,1.0,1,4.0,0.0,0.0,0.0,0.0,0.0,21.0,31.0,"67,7",2.0,20.0,0.0,0.0,0.0,2024-07-13
Thiago Borbas,Red Bull Bragantino,18,URU,FW,22-097,30.0,1,0,0,0,2,1,0,0,4.0,0.0,0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,1.0,0.0,2024-07-13
Lucas Evangelista,Red Bull Bragantino,8,BRA,DM,29-068,90.0,0,0,0,0,3,0,0,0,59.0,5.0,1,1.0,0.0,0.0,0.1,5.0,0.0,37.0,44.0,"84,1",7.0,28.0,0.0,0.0,0.0,2024-07-13
Eric Ramires,Red Bull Bragantino,7,BRA,DM,23-338,60.0,0,0,0,0,0,0,1,0,22.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,18.0,"72,2",0.0,8.0,0.0,0.0,0.0,2024-07-13
Matheus Fernandes,Red Bull Bragantino,35,BRA,DM,26-013,30.0,0,0,0,0,1,0,0,0,18.0,1.0,0,1.0,0.1,0.1,0.1,2.0,0.0,10.0,11.0,"90,9",2.0,6.0,0.0,0.0,0.0,2024-07-13
Juninho Capixaba,Red Bull Bragantino,29,BRA,LB,27-007,90.0,0,0,0,0,2,2,0,0,78.0,2.0,1,2.0,0.3,0.3,0.0,1.0,1.0,47.0,62.0,"75,8",11.0,38.0,3.0,5.0,1.0,2024-07-13
Luan Cândido,Red Bull Bragantino,36,BRA,CB,23-162,90.0,0,0,0,0,0,0,0,0,37.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,27.0,28.0,"96,4",1.0,21.0,0.0,1.0,0.0,2024-07-13
Pedro Henrique,Red Bull Bragantino,14,BRA,CB,28-285,90.0,0,0,0,0,0,0,0,0,52.0,4.0,0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,42.0,"71,4",3.0,23.0,0.0,0.0,0.0,2024-07-13
Nathan Mendes,Red Bull Bragantino,45,BRA,RB,21-329,90.0,0,0,0,0,0,0,1,0,65.0,2.0,0,3.0,0.0,0.0,0.1,2.0,0.0,43.0,58.0,"74,1",3.0,30.0,0.0,2.0,2.0,2024-07-13
Cleiton Schwengber,Red Bull Bragantino,1,BRA,GK,26-329,90.0,0,0,0,0,0,0,0,0,36.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,34.0,"58,8",0.0,16.0,0.0,0.0,0.0,2024-07-13
Thaciano,Bahia,16,BRA,FW,29-062,81.0,0,0,0,0,1,0,0,0,22.0,1.0,1,1.0,0.1,0.1,0.0,1.0,0.0,9.0,11.0,"81,8",2.0,10.0,0.0,0.0,0.0,2024-07-13
Carlos de Pena,Bahia,14,URU,"FW,LM",32-124,9.0,0,0,0,0,2,0,1,0,14.0,0.0,1,0.0,0.1,0.1,0.0,0.0,0.0,7.0,8.0,"87,5",2.0,8.0,0.0,0.0,0.0,2024-07-13
